,mean,std
MSI,0.8266666666666668,0.0953227137312321
GER,0.0006004952069419836,0.0005915416046602967
Battles,0.8,0.7888106377466155
ME,0.08607058157774933,0.011564021904022214
ESS,2.998500749625187e-05,3.494282352724143e-05
CCR,0.0019498205442733182,0.0010708585763689906
